month,weekday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,1134.4775,1049.9875,1023.665,994.315,1020.8375,1083.8775,1425.4525,1889.0925,2536.6125,2638.0,2530.325,2524.8475,1861.05,1886.6425,2224.8925,2370.6775,2471.3075,2525.495,2248.3375,2198.0425,2019.9125,1810.8575,1499.2725,1293.425,
1,1,1202.788,1106.1,1061.528,1012.21,1003.858,1066.14,1355.514,1760.634,2326.65,2389.214,2349.892,2279.044,1745.656,1743.182,2021.2,2191.332,2403.444,2517.34,2292.614,2265.298,2098.748,1868.742,1563.088,1328.846,
1,2,1124.576,1035.466,996.672,978.57,988.406,1081.394,1346.898,1869.94,2517.174,2598.486,2441.542,2335.622,1825.392,1833.47,2073.83,2234.318,2434.732,2510.87,2303.266,2261.44,2095.162,1886.286,1579.53,1357.064,
1,3,1135.94,1029.168,1012.752,993.22,1017.648,1076.19,1368.85,1833.018,2450.556,2522.858,2356.866,2253.358,1697.308,1736.47,2024.992,2184.116,2403.414,2479.256,2310.326,2278.616,2086.096,1854.412,1540.44,1334.402,
1,4,1149.5,1032.825,1004.17,984.9775,1015.1875,1071.35,1352.3275,1822.4225,2418.485,2525.7775,2265.5425,2100.1675,1566.5675,1589.04,1840.06,2054.5625,2339.025,2434.27,2315.5525,2318.885,2131.68,1899.65,1585.9125,1389.69,
1,5,1197.515,1107.7275,1034.785,1006.6975,1007.46,1069.58,1222.9175,1437.9,1746.0425,1828.3875,1754.575,1687.9675,1512.25,1431.3975,1486.84,1605.6825,1801.6675,2119.165,2268.4325,2171.465,2008.935,1818.7125,1573.885,1429.825,
1,6,1225.9275,1108.1825,1019.915,1012.2175,1004.2225,1015.5125,1147.0825,1306.6875,1529.9675,1647.225,1703.95,1696.1675,1562.7875,1503.4925,1497.9175,1529.3025,1672.1375,1985.265,2131.415,2123.3375,2010.875,1788.0525,1526.6325,1316.7375,
2,0,1150.045,1072.2,1046.845,1013.8175,1069.9,1107.2675,1446.8575,1888.8925,2603.57,2716.1775,2534.985,2459.3775,1894.4825,1939.1175,2275.6775,2430.1975,2496.055,2446.2525,2251.0725,2156.9225,2020.3,1814.8325,1525.095,1337.0125,
2,1,1142.2825,1057.5775,1028.2325,1028.0125,1039.4725,1104.36,1376.745,1709.7125,2428.0725,2475.9175,2283.9475,2180.9725,1724.4225,1742.1775,1901.6525,2028.1925,2227.96,2352.1625,2301.6875,2215.44,2008.5575,1785.3675,1491.0825,1330.595,
2,2,1125.2625,1035.18,1028.97,1018.485,1055.9625,1111.3125,1432.575,1920.5,2605.525,2685.2675,2557.67,2433.8625,1838.635,1851.96,2107.3175,2301.3475,2513.48,2498.75,2368.6375,2214.6775,2067.145,1837.9525,1490.0825,1306.005,
2,3,1116.345,1014.03,990.805,975.0275,1007.985,1092.7475,1375.225,1856.72,2627.725,2677.8175,2586.5575,2461.08,1947.1175,1987.05,2242.5325,2350.505,2479.75,2460.29,2293.93,2244.25,2064.27,1827.9675,1528.32,1351.82,
