Giorno,Giorno,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25
Venerdì,01/01/2016,1446,1428,1428,1426,1422,1424,1416,1552,500,1839,2084,2210,500,2085,500,2039,500,2027,500,2019,2227,2285,2295,2278,1679,1362,1358,1352,1352,
Sabato,02/01/2016,1390,1350,1350,1354,1354,1358,1366,1444,2377,500,2666,500,2663,2486,500,2430,2637,500,2671,500,2414,500,2292,2227,1856,1502,1446,1440,1434,1176,
Domenica,03/01/2016,1156,1052,984,960,952,950,952,1322,1692,500,2253,500,2503,500,2601,2600,500,2569,500,2557,500,2306,500,2179,2138,500,1932,500,1647,500,1416,1386,1382,1124,
Lunedì,04/01/2016,1106,1002,934,910,904,906,910,1284,1656,1752,2032,2517,2541,2521,500,2507,500,2262,500,2136,500,2064,500,1811,1765,1556,500,1380,1358,1102,
Martedì,05/01/2016,1084,984,912,890,882,886,888,1356,1460,1466,1462,1458,1900,1970,500,1972,2209,500,2250,500,2260,2255,2241,500,1739,500,1446,1446,1342,
Mercoledì,06/01/2016,1320,1280,1282,1278,1284,1280,1280,1280,1278,1276,1276,1280,1280,1280,1282,1288,1457,1491,1504,500,1497,1497,1496,500,1495,500,1488,500,
Giovedì,07/01/2016,1489,1498,500,1502,1502,500,1500,1498,1498,1758,500,2252,2294,500,2461,500,2237,2188,500,2401,500,2427,500,2221,2071,2008,1824,1539,1324,1294,1292,1034,
Venerdì,08/01/2016,1016,910,840,818,812,812,816,1200,1564,1662,1666,1974,2142,2130,2124,2282,2487,500,2518,500,1757,500,1320,1282,1278,1276,1016,
Sabato,09/01/2016,994,884,816,792,786,786,792,1180,1540,1612,1750,1826,1809,1931,500,2181,3316,2613,1739,500,1310,1240,1244,1246,1248,986,
Domenica,10/01/2016,964,854,778,742,726,720,726,1144,1548,1650,1658,1987,500,2412,500,2374,500,2347,500,2300,2214,1808,500,1324,1248,1240,1240,1238,974,
Lunedì,11/01/2016,1180,1130,1130,1128,1130,1130,1132,1136,1134,1132,1130,1130,1132,1128,1130,1128,1130,1130,1124,1128,1124,1126,1124,1126,
Martedì,12/01/2016,1128,1128,1122,1124,1124,1126,1124,1292,2048,2091,2224,2017,1948,2156,2193,1981,1820,1797,1596,1348,1196,1162,1156,888,
Mercoledì,13/01/2016,860,754,674,642,620,610,614,1038,1436,1546,1550,1548,1540,1530,1512,1766,2294,2321,1611,1206,1154,1146,1142,878,
Giovedì,14/01/2016,858,756,672,640,616,612,618,1034,1434,1530,1534,1534,1468,1887,2173,2134,1673,1430,1228,1144,1138,1140,1134,860,
Venerdì,15/01/2016,832,734,644,610,590,578,582,1008,1400,1504,1506,1510,1654,2157,2112,2076,1632,1394,1196,1108,1104,1102,1100,826,
Sabato,16/01/2016,800,700,610,576,556,548,552,978,1374,1476,1480,1482,1474,1826,2066,1847,1687,1631,1418,1302,1196,1100,1080,808,
Domenica,17/01/2016,778,674,586,554,548,548,550,1052,1174,1180,1176,1178,1176,1178,1176,1176,1176,1178,1178,1178,1174,1176,1174,1056,
Lunedì,18/01/2016,1042,1000,1000,1004,1004,1004,1002,1004,1006,1006,1010,1050,1064,1064,1056,1056,1056,1056,1044,1032,1034,1026,1030,1032,
Martedì,19/01/2016,1032,1056,1090,1102,1218,1191,1434,1506,1800,1905,2147,1946,1892,2106,1753,1466,1368,1344,1206,1126,1144,1186,1196,933,
Mercoledì,20/01/2016,905,809,727,705,689,681,685,1088,1420,1498,1500,1502,1987,1849,1842,1998,2208,1807,1238,1106,1104,1098,1098,824,
Giovedì,21/01/2016,796,694,602,572,554,544,552,972,1364,1462,1472,1497,1833,1257,326,388,337,107,72,56,2776,1728,1044,1054,
Venerdì,22/01/2016,1056,1050,1058,1058,1056,1054,1056,1056,656,946,762,1124,1062,1064,1948,2145,1665,1368,1246,1056,1058,1048,1046,762,
Sabato,23/01/2016,736,630,542,500,492,492,494,672,1354,1496,1498,1474,1448,1603,2036,1764,1610,1545,1356,1229,1191,1094,1026,732,
Domenica,24/01/2016,706,602,548,548,548,548,550,1002,1110,1108,1106,1104,1104,1104,1104,1098,1096,1094,1092,1088,1086,1084,1084,982,
Lunedì,25/01/2016,972,932,930,928,928,924,924,924,924,924,922,924,922,922,920,920,920,920,916,914,914,916,914,914,
Martedì,26/01/2016,914,916,914,912,908,910,912,940,1340,1444,1440,1420,1398,1372,1346,1314,1254,1212,1092,974,970,966,966,674,
Mercoledì,27/01/2016,650,540,492,492,494,494,494,544,1238,1372,1811,1942,1927,1902,1490,1264,1210,1170,1066,954,952,950,952,660,
Giovedì,28/01/2016,636,528,490,492,494,494,494,544,1238,1366,1358,1338,1318,1302,1278,1242,1184,1170,1072,950,946,948,942,658,
Venerdì,29/01/2016,628,524,490,492,492,494,492,544,1226,1358,1340,1322,1304,1282,1264,1226,1170,1158,1062,938,936,934,934,646,
Sabato,30/01/2016,618,520,490,492,490,494,492,542,1224,1351,1672,1870,1914,1915,1877,1630,1489,1447,1268,1151,1161,1049,954,642,
Domenica,31/01/2016,624,560,546,548,548,548,550,938,1066,1072,1070,1090,1130,1120,1102,1092,1084,1084,1086,1078,1006,1000,1022,964,
Lunedì,01/02/2016,960,932,934,932,932,926,950,1056,1048,1067,1058,1056,1048,1048,1046,1040,1037,1031,1012,1014,1011,1009,996,990,
Martedì,02/02/2016,996,996,995,992,975,981,978,997,1663,1671,1744,1715,1736,1709,1697,1648,1588,1567,1569,1589,1590,1271,1016,664,
