month,weekday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,1817.65,1700.665,1637.07,1699.6625,1753.675,1838.92,2203.4325,2839.585,2870.5825,2947.1275,2779.1775,2674.0975,2255.2875,2318.275,2468.4475,2483.075,2619.2225,3088.5675,3149.8,3119.5175,2913.7075,2683.3775,2308.1625,2010.43,
1,1,1897.372,1778.108,1692.068,1670.106,1730.266,1858.97,2132.6,2682.21,2728.654,2720.824,2692.516,2614.488,2203.992,2173.596,2296.952,2490.368,2716.008,3172.622,3319.438,3221.244,2987.248,2732.784,2354.13,2059.458,
1,2,1800.574,1682.956,1599.506,1630.452,1711.854,1846.592,2134.858,2715.08,2798.134,2813.316,2711.21,2642.334,2232.746,2278.068,2444.82,2574.702,2708.184,3156.782,3268.104,3217.906,2977.326,2750.904,2389.764,2085.166,
1,3,1803.64,1679.802,1627.87,1614.408,1659.77,1753.138,2086.96,2621.244,2717.978,2673.758,2591.992,2555.17,2148.488,2157.81,2244.776,2415.59,2638.672,3152.152,3270.684,3222.734,2961.024,2723.504,2352.35,2057.192,
1,4,1819.1575,1695.53,1617.0475,1648.845,1765.22,1831.0625,2073.535,2647.8525,2811.3225,2873.5975,2701.395,2640.3675,2146.99,2131.895,2283.6825,2398.605,2677.4975,3192.1925,3277.3,3288.205,3006.42,2762.325,2407.9075,2117.9225,
1,5,1872.3975,1726.2725,1663.1475,1680.6275,1777.96,1843.7975,2029.2025,2408.4125,2564.155,2679.7075,2579.1875,2393.58,2154.3425,2070.735,2103.72,2254.6875,2464.7425,3112.4775,3350.115,3184.31,2954.035,2709.66,2393.42,2169.355,
1,6,1893.915,1769.2675,1661.2275,1665.845,1705.94,1713.19,1878.54,2080.9975,2080.84,2228.34,2276.4725,2266.87,2136.93,2039.4775,2040.9075,2079.63,2195.0475,2806.0225,3043.1775,2993.1175,2851.9375,2595.9175,2267.6075,2040.2775,
2,0,1772.89,1674.71,1609.9725,1637.995,1794.3325,1860.765,2207.08,2680.985,2861.4225,2795.6125,2673.855,2651.8475,2194.2875,2249.1825,2418.665,2436.515,2576.495,2745.17,3140.2125,3104.42,2894.655,2643.7575,2275.2025,1996.4025,
2,1,1785.93,1676.2775,1611.8325,1666.1475,1756.4,1867.925,2223.3525,2594.4075,2710.6125,2705.8975,2577.0875,2509.97,2080.935,2036.07,2178.5925,2282.045,2439.1025,2672.0025,3141.9575,3104.0425,2876.74,2614.9325,2270.03,1998.4775,
2,2,1783.8175,1663.835,1597.405,1653.6775,1790.9225,1870.2525,2176.7675,2578.3225,2782.06,2721.515,2628.1925,2479.4025,1991.8325,1953.16,2130.4075,2372.905,2552.3525,2687.96,3174.24,3092.8325,2895.3075,2649.62,2268.6325,1987.945,
2,3,1767.665,1648.05,1587.9275,1592.66,1638.195,1722.5025,2077.0025,2511.0375,2683.6325,2597.935,2466.595,2400.34,1988.005,2069.1175,2203.7625,2305.22,2491.22,2679.2575,3147.335,3090.5175,2858.5325,2622.8525,2285.515,2011.405,
2,4,1798.89,1667.8625,1640.0625,1621.3675,1772.11,1860.255,2176.8575,2604.6275,2765.55,2741.3325,2690.005,2623.89,2050.16,2107.125,2295.57,2435.575,2590.035,2809.3775,3143.9125,3124.435,2888.375,2625.1925,2326.38,2064.4975,
2,5,1827.9225,1718.6025,1626.1375,1652.7375,1784.335,1830.3125,2035.915,2316.5575,2529.9025,2656.555,2608.33,2546.2475,2169.3175,2110.18,2165.7325,2231.7825,2332.7175,2676.9775,3196.8475,3094.0625,2839.4825,2603.135,2320.3675,2105.415,
2,6,1895.4075,1714.6025,1621.33,1624.5425,1664.36,1700.7725,1862.8425,1931.44,1990.4225,2049.365,2085.0625,2068.405,1884.7525,1824.5825,1790.3275,1839.69,1983.175,2367.81,2920.36,2916.9275,2781.7175,2564.9175,2280.77,1989.6425,
3,0,1739.1975,1627.8675,1484.42,1607.6175,1731.4475,1808.69,2006.8675,2438.2975,2583.0125,2487.6575,2346.65,2389.7025,2009.6025,2002.34,2197.675,2349.69,2432.845,2551.1225,2901.675,3108.2925,2850.7175,2570.1425,2179.0025,1936.4725,
3,1,1715.3625,1617.235,1557.1725,1593.23,1704.4,1815.4025,1967.7775,2469.6325,2646.5075,2631.395,2540.465,2496.445,2019.1075,2070.4725,2215.885,2341.61,2389.815,2535.9575,2919.4525,3096.7975,2872.4175,2611.5625,2231.3925,1955.82,
3,2,1736.615,1614.2775,1572.825,1596.93,1729.2175,1805.2,1941.0225,2474.8775,2641.06,2592.225,2543.235,2525.9275,2117.6625,2121.015,2322.4625,2442.035,2487.9,2530.7225,2887.0275,3090.0325,2848.595,2639.79,2249.615,1947.65,
3,3,1725.8375,1602.3575,1562.1275,1570.4425,1610.54,1701.1575,1859.6875,2232.49,2464.7325,2447.4025,2308.3175,2242.265,1900.66,1874.7225,2020.825,2248.365,2386.3275,2532.9875,2843.975,3135.12,2900.91,2663.1075,2262.19,1998.115,
3,4,1761.068,1652.194,1594.112,1606.0,1744.354,1849.362,1982.602,2415.024,2588.63,2443.604,2284.264,2264.47,1909.154,1923.408,1988.742,2202.868,2368.416,2573.674,2936.96,3165.364,2941.798,2667.664,2292.14,2012.646,
3,5,1786.414,1640.96,1610.79,1618.182,1725.494,1827.048,1843.958,2101.802,2365.662,2431.62,2370.092,2294.138,2055.134,1952.39,2013.832,2113.692,2266.36,2497.78,2984.866,3093.662,2832.998,2577.75,2301.328,2062.348,
3,6,1832.508,1672.372,1349.638,1578.9,1635.132,1677.568,1682.352,1722.396,1917.154,1975.722,1918.242,1926.26,1789.432,1742.88,1734.922,1781.612,1886.746,2144.048,2590.25,2846.512,2758.708,2554.474,2257.77,1959.354,
4,0,1807.6,1692.362,1616.87,1668.752,1814.59,1851.718,2029.432,2460.83,2786.59,2809.272,2749.992,2673.42,2314.97,2204.456,2184.802,2189.312,2179.12,2249.02,2416.026,2625.468,2897.404,2745.034,2356.764,2051.266,
4,1,1803.014,1661.27,1611.672,1621.948,1718.788,1830.518,2001.236,2495.388,2778.49,2756.57,2569.676,2483.128,2070.418,1998.482,2049.05,2104.962,2365.828,2376.37,2468.118,2640.472,2944.286,2754.962,2375.988,2044.122,
4,2,1824.26,1665.62,1635.82,1618.745,1754.4225,1813.9325,1939.205,2391.715,2561.7025,2425.945,2239.7425,2133.445,1824.1025,1768.7675,1807.7,1890.7225,2003.325,2098.41,2334.6075,2584.945,2933.1325,2785.0725,2349.3125,2061.84,
4,3,1825.015,1667.43,1605.5375,1598.0825,1631.5575,1721.1525,1866.0525,2233.12,2430.52,2384.3475,2305.0575,2198.1775,1880.5675,1854.915,1905.1875,1995.33,2097.2375,2239.85,2431.285,2614.8725,2886.38,2749.565,2337.91,2060.1475,
4,4,1818.6175,1663.6025,1590.3275,1626.475,1740.47,1852.775,2000.9475,2428.7525,2777.0125,2743.895,2698.6625,2664.0175,2232.4925,2166.385,2179.29,2249.65,2313.4475,2400.535,2540.3025,2726.325,2976.965,2786.47,2371.6625,2068.96,
4,5,1836.11,1737.2225,1670.865,1664.335,1762.22,1814.9775,1843.225,2151.0025,2563.4225,2695.0,2663.9225,2587.235,2286.5025,2192.975,2123.36,2103.6425,2195.0375,2386.305,2569.4275,2678.6125,2856.2825,2701.79,2394.575,2136.2475,
4,6,1880.73,1738.54,1655.34,1650.935,1670.7425,1702.2825,1675.42,1806.3725,2036.6075,2210.4525,2208.5725,2159.465,1984.03,1833.885,1703.185,1603.93,1621.96,1842.995,2126.3225,2399.1825,2717.705,2627.135,2289.0,2006.225,
5,0,1751.285,1634.5675,1588.9975,1599.5,1744.49,1703.7925,1787.85,2270.2425,2519.88,2477.6825,2412.4875,2323.3725,2007.1475,2040.0825,1988.6525,2038.11,2035.5625,2105.605,2220.39,2368.945,2449.425,2661.5625,2314.53,2001.56,
5,1,1747.5525,1627.425,1548.135,1587.365,1694.305,1659.505,1768.9,2313.9475,2563.2425,2467.98,2318.88,2331.68,1949.0875,2035.555,2031.95,2063.045,2183.39,2215.8925,2320.5175,2421.4325,2532.02,2678.8525,2301.2925,1976.78,
5,2,1755.654,1638.882,1583.1,1598.934,1718.714,1717.25,1721.822,2196.968,2467.452,2381.976,2293.744,2288.208,2009.514,1978.73,1935.84,2029.176,2046.08,2130.506,2275.742,2411.176,2527.27,2632.674,2295.36,1988.116,
5,3,1739.104,1609.926,1564.424,1550.762,1576.04,1593.39,1673.718,2196.704,2445.292,2439.546,2339.42,2269.314,1960.354,1959.624,2066.07,2203.27,2265.508,2286.882,2402.008,2497.508,2557.212,2654.656,2287.226,1991.72,
5,4,1745.9,1635.786,1551.722,1593.886,1701.13,1702.238,1826.488,2431.074,2824.43,2851.802,2839.31,2779.932,2362.616,2389.732,2410.368,2417.58,2425.074,2433.07,2533.97,2539.188,2580.572,2691.68,2377.28,2056.862,
5,5,1838.5125,1679.0975,1620.165,1664.2575,1715.4575,1687.84,1648.845,2036.615,2313.58,2404.18,2317.9075,2244.805,1997.7475,1870.075,1914.82,1985.8525,2031.57,2205.0525,2373.25,2522.2675,2544.435,2692.0975,2405.3025,2169.035,
5,6,1886.4275,1753.5425,1640.1675,1615.3125,1637.5325,1578.99,1425.0175,1641.9825,1843.41,1986.6525,2005.585,1933.11,1777.9725,1717.94,1636.53,1637.795,1676.085,1836.4775,2088.6075,2297.3775,2404.7375,2588.7075,2279.2225,1991.95,
6,0,1835.3375,1713.8075,1662.4275,1736.4375,1807.1775,1658.7925,1749.1875,2232.4625,2567.355,2576.38,2526.95,2490.265,2149.9425,2196.215,2200.1375,2200.8075,2224.335,2252.5775,2323.7375,2393.425,2387.0525,2556.2825,2378.515,2042.5725,
6,1,1825.515,1685.8475,1634.625,1640.51,1760.3375,1623.82,1753.98,2218.475,2497.83,2468.7425,2319.635,2343.18,2077.3825,2086.045,2145.54,2207.8175,2329.01,2419.1875,2495.7375,2477.0725,2391.5225,2567.6525,2367.3475,2068.015,
6,2,1799.4075,1682.14,1605.7525,1606.7975,1742.48,1635.1725,1663.2675,2219.815,2517.02,2480.1075,2406.06,2339.14,2042.9425,2058.205,2023.6775,2120.315,2172.3425,2223.6675,2364.87,2451.775,2387.645,2572.9775,2416.4625,2102.795,
6,3,1845.1325,1717.2475,1654.515,1627.01,1687.4275,1498.465,1659.715,2099.04,2416.4825,2450.27,2305.0225,2159.33,1949.9375,1913.9525,1917.545,2021.18,2165.84,2315.73,2505.9225,2526.275,2475.7725,2627.9925,2396.4425,2096.6025,
6,4,1838.8525,1692.55,1623.195,1681.155,1775.085,1698.745,1774.5025,2298.745,2642.75,2693.1725,2671.7,2594.785,2199.0,2182.4625,2201.605,2316.585,2354.0325,2397.0075,2491.71,2498.27,2475.7525,2638.0325,2452.3375,2128.74,
6,5,1836.27,1710.628,1623.388,1660.54,1731.896,1574.948,1595.164,1947.202,2247.244,2373.456,2317.228,2311.404,2085.986,2063.928,2042.836,2106.336,2107.858,2215.92,2320.364,2391.268,2372.218,2565.93,2457.346,2122.762,
6,6,1883.468,1742.284,1632.67,1624.142,1635.956,1484.226,1412.62,1639.524,1843.904,1958.674,1929.97,1927.748,1830.62,1768.352,1678.822,1643.896,1663.33,1811.864,2039.542,2226.038,2300.992,2486.586,2314.662,1995.87,
7,0,2018.954,1918.916,1809.938,1846.358,1978.478,1951.822,1894.538,2396.928,2739.362,2738.394,2708.64,2631.416,2350.308,2287.052,2284.248,2340.838,2365.838,2473.83,2611.768,2733.526,2665.388,2810.406,2570.074,2265.788,
7,1,1966.368,1815.768,1740.504,1765.814,1924.566,1888.79,1849.052,2283.628,2699.696,2707.932,2650.41,2552.796,2264.06,2238.704,2189.63,2271.378,2433.968,2504.916,2658.262,2752.27,2658.756,2863.118,2634.284,2301.218,
7,2,2032.418,1907.61,1859.86,1902.314,2004.01,1913.834,1837.782,2357.498,2791.434,2807.106,2764.666,2586.25,2311.022,2334.35,2348.722,2414.586,2445.836,2542.21,2638.128,2694.882,2669.158,2825.086,2587.734,2289.644,
7,3,1963.95,1851.81,1748.275,1736.51,1809.5725,1740.2,1759.56,2166.5,2501.6,2529.2275,2480.635,2472.01,2178.5825,2140.77,2162.35,2244.16,2379.5075,2484.0975,2569.17,2672.5925,2607.7825,2831.74,2627.75,2313.515,
7,4,2083.3425,1870.4725,1811.69,1824.295,1967.7,1925.6,1900.39,2378.9425,2760.35,2781.505,2779.995,2608.035,2404.6925,2364.5225,2356.5975,2488.05,2623.4675,2687.4175,2757.2425,2802.73,2747.0125,2893.4625,2664.8025,2369.965,
7,5,2099.9475,1940.815,1844.95,1869.435,1998.255,1941.09,1806.0975,2208.0675,2560.6675,2636.27,2601.4125,2517.3925,2319.69,2218.2375,2165.9525,2212.3,2389.06,2481.74,2648.6025,2801.275,2709.4525,2867.3825,2707.7175,2419.325,
7,6,2123.43,1980.8325,1864.925,1837.9925,1879.6425,1820.3675,1681.5625,1958.005,2187.56,2271.9275,2226.2725,2201.0925,2082.7525,1925.9775,1779.87,1769.0425,1792.025,2032.5925,2237.0225,2490.1125,2589.4075,2837.5325,2679.025,2351.5825,
8,0,2106.9675,1929.1525,1876.8575,1893.5675,1979.0925,2065.525,2045.4925,2385.5725,2867.2375,2994.9125,2897.89,2794.5675,2544.56,2526.7075,2447.7475,2572.995,2704.5875,2819.34,2930.97,2915.3975,3019.8125,3166.8,2781.695,2405.385,
8,1,2102.9575,1960.1075,1869.5925,1855.6475,1951.4475,2063.8625,2049.1575,2457.0325,2851.1475,2990.95,2922.5625,2822.235,2579.445,2513.8375,2496.55,2522.8325,2628.91,2693.5575,2816.355,2932.515,3049.8525,3181.3325,2802.535,2433.21,
8,2,2132.5775,2004.695,1893.205,1902.795,1990.9875,2039.315,1938.42,2270.93,2595.9775,2710.4075,2632.46,2600.8925,2420.8875,2276.1825,2202.585,2217.445,2299.1575,2448.1625,2535.5575,2699.4925,2907.57,3047.8775,2774.0125,2371.3575,
8,3,2047.874,1931.932,1825.084,1781.46,1797.49,1881.612,1861.812,2334.552,2699.932,2733.912,2711.888,2636.296,2447.868,2348.454,2285.332,2286.292,2344.802,2507.92,2672.946,2811.034,2942.31,3121.616,2710.204,2321.752,
8,4,2031.304,1877.95,1823.626,1833.064,1977.1,2065.188,2052.424,2432.488,2868.076,2906.244,2877.356,2748.852,2448.826,2457.85,2442.388,2497.758,2596.634,2760.014,2881.47,2870.586,2991.344,3191.464,2779.574,2361.834,
8,5,2067.156,1929.69,1874.968,1880.38,1969.316,2027.814,1936.93,2318.672,2722.62,2828.766,2790.124,2694.228,2512.76,2408.124,2383.684,2422.862,2482.468,2555.338,2718.146,2807.748,2914.828,3067.662,2718.508,2349.772,
8,6,2013.2575,1893.0375,1814.7775,1767.5775,1801.9325,1839.3225,1796.1375,2067.6525,2377.11,2423.9,2377.8725,2331.0625,2230.7025,2180.3675,2021.165,2008.2725,2127.215,2299.315,2484.09,2634.0925,2770.0925,2975.3275,2680.02,2345.5,
9,0,1819.702,1703.34,1657.97,1687.106,1759.03,1846.296,2089.886,2509.726,2776.25,2762.83,2582.298,2502.586,2160.804,2158.324,2204.402,2250.844,2366.46,2399.62,2615.012,2949.99,3100.298,2829.5,2400.628,2095.92,
9,1,1886.8825,1744.6925,1708.2775,1703.81,1807.38,1889.4625,2120.7775,2505.5175,2810.88,2756.045,2644.315,2551.6575,2186.485,2111.42,2119.35,2191.8925,2348.5125,2495.65,2676.41,2981.53,3137.0425,2876.47,2455.2725,2107.3075,
9,2,1846.72,1746.335,1708.7925,1705.685,1772.965,1836.4025,2042.5075,2458.305,2724.255,2713.5475,2511.3625,2406.7425,2008.925,2074.3875,2102.675,2239.2675,2372.6125,2414.39,2576.8475,2939.635,3098.26,2791.59,2398.9325,2094.9575,
9,3,1860.5875,1727.875,1692.6875,1646.75,1660.2325,1729.5425,2011.1575,2370.2425,2586.695,2525.3775,2359.07,2225.82,1975.33,1917.275,1919.7525,2090.635,2285.7875,2391.475,2531.9575,2958.6825,3081.6775,2824.595,2433.37,2082.52,
9,4,1846.31,1763.0525,1686.525,1705.0525,1808.8725,1903.115,2153.9925,2595.0575,2866.39,2844.845,2642.66,2513.765,2197.3775,2223.865,2145.5775,2287.2175,2410.2575,2531.925,2639.0675,3064.965,3164.79,2874.3625,2465.9025,2138.64,
9,5,1917.675,1757.41,1696.8025,1727.155,1805.87,1846.775,1976.5025,2229.99,2557.125,2667.4825,2478.995,2364.335,2160.9375,2032.32,1993.3325,2025.2275,2143.8475,2300.3275,2544.865,2896.875,2940.735,2732.87,2438.2925,2173.4125,
9,6,1938.466,1795.568,1701.43,1697.462,1691.724,1739.86,1793.49,1799.96,2074.518,2172.172,2199.252,2184.502,2118.33,2042.442,1917.736,1821.862,1796.956,1964.916,2303.308,2707.1,2809.786,2594.578,2294.482,2022.802,
10,0,1750.5475,1645.7725,1598.4575,1623.055,1728.2325,1802.2725,2155.215,2741.605,2830.5225,2889.8825,2793.3075,2680.2825,2330.5625,2275.0475,2318.845,2374.4725,2447.455,2553.5025,2899.13,3223.1625,3002.85,2679.71,2305.3025,2012.965,
10,1,1788.876,1675.888,1604.594,1629.62,1741.198,1811.708,2203.824,2802.088,2894.388,2959.61,2921.866,2812.738,2355.272,2244.458,2286.912,2350.008,2458.414,2555.758,2865.552,3256.49,3048.864,2741.994,2346.72,2024.406,
10,2,1783.276,1672.164,1592.376,1620.534,1737.994,1811.346,2104.976,2758.762,2896.82,2878.274,2763.962,2574.202,2106.224,2107.366,2180.276,2315.104,2478.13,2611.04,2891.77,3212.83,2993.062,2690.184,2292.18,1993.334,
10,3,1775.044,1642.216,1561.824,1559.268,1596.686,1659.362,2040.614,2655.106,2780.66,2818.024,2721.988,2610.92,2134.82,2157.438,2211.774,2307.506,2411.418,2609.204,2932.444,3256.006,3054.484,2749.294,2360.706,2058.498,
10,4,1808.16,1689.2925,1653.3975,1642.1725,1717.13,1826.545,2201.0125,2890.8075,2913.3,2890.59,2709.35,2599.595,2242.485,2299.4025,2219.2275,2317.22,2421.965,2537.47,2882.2025,3332.55,3081.3675,2809.24,2415.7825,2134.5875,
